city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,Shellbrook,53.2168,-106.4011,29.43,96,50,3.4,CA,2022-04-21 05:55:11
160,Tucupita,9.0622,-62.051,71.98,96,87,2.55,VE,2022-04-21 05:55:12
161,East London,-33.0153,27.9116,68.94,68,0,5.75,ZA,2022-04-21 05:55:12
162,Hamilton,39.1834,-84.5333,62.55,41,100,9.22,US,2022-04-21 05:50:50
163,Tual,-5.6667,132.75,83.86,72,94,3.96,ID,2022-04-21 05:55:13
164,Kushiro,42.975,144.3747,56.35,47,0,17.27,JP,2022-04-21 05:55:13
165,Sabha,27.0377,14.4283,71.82,21,59,19.69,LY,2022-04-21 05:55:14
166,Road Town,18.4167,-64.6167,77.97,69,60,19.44,VG,2022-04-21 05:55:14
167,Dunedin,-45.8742,170.5036,55.8,90,100,1.99,NZ,2022-04-21 05:55:14
168,Talnakh,69.4865,88.3972,20.21,74,12,1.66,RU,2022-04-21 05:55:15
169,New Norfolk,-42.7826,147.0587,56.71,34,74,5.75,AU,2022-04-21 05:55:15
170,Berlevag,70.8578,29.0864,42.6,88,97,6.06,NO,2022-04-21 05:55:16
171,Agua Dulce,18.1333,-94.1333,77.38,79,9,3.89,MX,2022-04-21 05:55:16
172,Bogande,12.9714,-0.1436,87.6,40,71,9.6,BF,2022-04-21 05:55:16
173,Paracale,14.2804,122.7881,85.96,70,28,8.3,PH,2022-04-21 05:55:17
174,Provideniya,64.3833,-173.3,30.36,64,0,8.99,RU,2022-04-21 05:55:18
175,Boromlya,50.6184,34.9704,43.07,78,94,13.22,UA,2022-04-21 05:55:18
176,Brewster,41.3973,-73.6171,44.91,71,62,2.35,US,2022-04-21 05:55:19
177,Zhigansk,66.7697,123.3711,26.53,76,100,3.91,RU,2022-04-21 05:55:19
178,Fort Nelson,58.8053,-122.7002,29.79,59,75,2.3,CA,2022-04-21 05:55:19
179,Vila Franca Do Campo,37.7167,-25.4333,57.61,67,80,7.87,PT,2022-04-21 05:55:20
180,Mehamn,71.0357,27.8492,40.32,88,100,11.88,NO,2022-04-21 05:55:20
181,San Policarpo,12.1791,125.5072,82.89,82,90,10.38,PH,2022-04-21 05:55:21
182,Constitucion,-35.3333,-72.4167,50.49,68,38,8.03,CL,2022-04-21 05:55:21
183,Ayna,-12.65,-73.9167,60.49,85,90,1.28,PE,2022-04-21 05:55:21
184,Malibu,34.005,-118.8101,57.27,88,3,1.99,US,2022-04-21 05:55:27
185,San Juan,-31.5375,-68.5364,58.39,61,1,5.37,AR,2022-04-21 05:55:27
186,Dawei,14.0833,98.2,87.01,67,65,3.76,MM,2022-04-21 05:55:28
187,Luwuk,-0.9516,122.7875,86.47,69,72,3.22,ID,2022-04-21 05:55:28
188,Arlit,18.7369,7.3853,83.55,14,96,8.68,NE,2022-04-21 05:55:28
189,Mocuba,-16.8392,36.9856,70.41,93,100,5.1,MZ,2022-04-21 05:55:29
190,Njombe,-9.3333,34.7667,61.2,84,93,6.55,TZ,2022-04-21 05:55:29
191,Karlskrona,56.1616,15.5866,43.25,78,44,14.61,SE,2022-04-21 05:55:30
192,Lavrentiya,65.5833,-171.0,18.95,93,10,4.16,RU,2022-04-21 05:55:30
193,Shache,38.4167,77.2406,79.83,13,67,11.43,CN,2022-04-21 05:55:30
194,Belmonte,-15.8631,-38.8828,74.77,84,8,8.72,BR,2022-04-21 05:55:31
195,Hasaki,35.7333,140.8333,72.28,77,100,13.06,JP,2022-04-21 05:55:31
196,Ancona,43.55,13.1667,53.38,93,75,6.91,IT,2022-04-21 05:55:32
197,Mar Del Plata,-38.0023,-57.5575,58.87,91,0,8.05,AR,2022-04-21 05:51:18
198,Bogovarovo,58.9785,47.0246,38.08,74,39,7.94,RU,2022-04-21 05:55:32
199,Ayrum,41.1898,44.9014,57.9,72,28,4.41,AM,2022-04-21 05:55:33
200,Lazaro Cardenas,17.9583,-102.2,73.98,84,0,2.91,MX,2022-04-21 05:55:33
201,Daru,-9.0763,143.2092,81.91,84,100,8.77,PG,2022-04-21 05:55:34
202,Charters Towers,-20.1,146.2667,70.61,94,100,14.38,AU,2022-04-21 05:55:34
203,Nelson Bay,-32.7167,152.15,73.99,69,21,7.94,AU,2022-04-21 05:55:34
204,Souillac,-20.5167,57.5167,82.78,78,75,3.44,MU,2022-04-21 05:55:35
205,Bauchi,10.5,10.0,82.2,41,100,2.77,NG,2022-04-21 05:55:35
206,Tromso,69.6496,18.957,43.38,81,75,10.36,NO,2022-04-21 05:55:35
207,Baiyin,36.5583,104.2081,66.11,11,73,13.13,CN,2022-04-21 05:55:36
208,Port Augusta,-32.5,137.7667,70.81,46,3,13.76,AU,2022-04-21 05:55:36
209,Cayenne,4.9333,-52.3333,77.09,1,75,6.91,GF,2022-04-21 05:55:37
210,Camacha,33.0833,-16.3333,56.62,77,40,6.91,PT,2022-04-21 05:54:02
211,Cherskiy,68.75,161.3,29.75,85,91,2.37,RU,2022-04-21 05:55:37
212,Malvern,34.3623,-92.813,67.32,95,99,8.93,US,2022-04-21 05:55:38
213,Nipawin,53.3668,-104.0009,26.64,93,75,6.91,CA,2022-04-21 05:55:38
214,Uyovu,-3.2833,31.5258,67.86,86,98,2.82,TZ,2022-04-21 05:55:38
215,Kahului,20.8947,-156.47,73.85,82,56,4.0,US,2022-04-21 05:55:39
216,Lima,-12.0432,-77.0282,71.91,73,0,5.75,PE,2022-04-21 05:54:40
217,Broome,42.2506,-75.833,37.65,65,96,4.72,US,2022-04-21 05:55:39
218,Yarmouth,41.7057,-70.2286,46.96,89,0,3.0,US,2022-04-21 05:55:40
219,Port Hardy,50.6996,-127.4199,48.2,71,100,6.91,CA,2022-04-21 05:55:40
220,Batagay,67.6333,134.6333,30.36,90,100,3.42,RU,2022-04-21 05:55:41
221,Bengkulu,-3.8004,102.2655,85.66,64,65,8.95,ID,2022-04-21 05:52:56
222,Chipinge,-20.1883,32.6236,58.82,99,100,1.86,ZW,2022-04-21 05:55:41
223,Yulara,-25.2406,130.9889,76.84,18,40,12.66,AU,2022-04-21 05:55:42
224,Baft,29.234,56.6057,67.1,12,32,3.6,IR,2022-04-21 05:55:42
225,Nicoya,10.1483,-85.452,76.73,80,9,2.19,CR,2022-04-21 05:55:43
226,Dakar,14.6937,-17.4441,70.68,84,67,9.73,SN,2022-04-21 05:55:15
227,Gazimurskiy Zavod,51.5461,118.3266,43.47,20,2,8.79,RU,2022-04-21 05:55:43
228,Kassala,15.451,36.4,94.08,20,87,12.86,SD,2022-04-21 05:55:43
229,Rio Grande,-32.035,-52.0986,64.31,87,57,8.66,BR,2022-04-21 05:55:44
230,Bambous Virieux,-20.3428,57.7575,83.21,78,75,3.44,MU,2022-04-21 05:55:44
231,Discovery Bay,37.9085,-121.6002,61.14,59,20,18.41,US,2022-04-21 05:55:45
232,Ahipara,-35.1667,173.1667,66.87,93,20,6.04,NZ,2022-04-21 05:55:45
233,Kamenka,51.3223,42.7678,51.28,53,19,12.33,RU,2022-04-21 05:55:45
234,Beidao,34.5686,105.8933,73.96,37,13,2.44,CN,2022-04-21 05:55:51
235,Sinnamary,5.3833,-52.95,76.17,91,100,6.33,GF,2022-04-21 05:55:51
236,Nanortalik,60.1432,-45.2371,33.76,73,100,19.46,GL,2022-04-21 05:55:52
237,Cabo San Lucas,22.8909,-109.9124,68.5,78,1,11.5,MX,2022-04-21 05:51:03
238,Smolenka,52.1352,113.4974,41.07,33,40,17.9,RU,2022-04-21 05:55:52
239,Paita,-5.0892,-81.1144,68.34,81,83,14.81,PE,2022-04-21 05:55:53
240,Inhambane,-23.865,35.3833,73.38,88,40,4.61,MZ,2022-04-21 05:55:53
241,Buala,-8.145,159.5921,83.97,74,69,7.49,SB,2022-04-21 05:55:54
242,Passagem Franca,-6.1797,-43.7836,74.26,84,48,1.48,BR,2022-04-21 05:55:54
243,Mehran,33.1222,46.1646,82.72,14,75,6.73,IR,2022-04-21 05:55:54
244,Ostrovnoy,68.0531,39.5131,33.04,91,100,16.93,RU,2022-04-21 05:55:55
245,Longyearbyen,78.2186,15.6401,30.04,69,20,11.5,SJ,2022-04-21 05:55:55
246,Zharkent,44.1628,80.0,64.56,30,100,4.38,KZ,2022-04-21 05:55:56
247,Namuac,18.6109,121.1657,84.67,70,9,6.42,PH,2022-04-21 05:55:56
248,Isangel,-19.55,169.2667,80.2,77,58,9.53,VU,2022-04-21 05:55:56
249,Timra,62.487,17.3257,35.28,80,0,5.75,SE,2022-04-21 05:55:57
250,Tasiilaq,65.6145,-37.6368,23.79,90,88,4.23,GL,2022-04-21 05:55:57
251,Santa Cruz,-17.8,-63.1667,72.86,88,75,2.3,BO,2022-04-21 05:55:58
252,Burns Lake,54.2331,-125.7533,33.22,96,55,3.13,CA,2022-04-21 05:54:03
253,Sisimiut,66.9395,-53.6735,19.56,58,100,9.15,GL,2022-04-21 05:55:58
254,Hovd,48.0056,91.6419,49.33,27,39,9.24,MN,2022-04-21 05:55:59
255,Stepnogorsk,52.3544,71.8869,45.75,86,100,14.0,KZ,2022-04-21 05:55:59
256,Tezu,27.9167,96.1667,88.3,46,2,4.32,IN,2022-04-21 05:55:59
257,Zyryanka,65.75,150.85,25.57,77,100,1.86,RU,2022-04-21 05:56:00
258,Roma,43.2128,-75.4557,36.73,75,94,1.99,US,2022-04-21 05:55:51
259,Alihe,50.5667,123.7167,51.71,21,100,4.74,CN,2022-04-21 05:56:00
260,Okhotsk,59.3833,143.3,29.52,78,99,8.63,RU,2022-04-21 05:56:01
261,Sitka,57.0531,-135.33,41.54,80,59,2.91,US,2022-04-21 05:54:23
262,Hami,42.8,93.45,70.86,6,52,1.41,CN,2022-04-21 05:56:01
263,Plaster Rock,46.9065,-67.39,30.6,93,11,4.81,CA,2022-04-21 05:56:02
264,Port-Gentil,-0.7193,8.7815,78.76,94,40,2.3,GA,2022-04-21 05:56:02
265,Araouane,18.9048,-3.5265,76.33,14,1,8.9,ML,2022-04-21 05:56:03
266,Macheng,31.1783,115.0319,78.96,49,0,14.7,CN,2022-04-21 05:56:03
267,Pevek,69.7008,170.3133,28.72,81,100,0.2,RU,2022-04-21 05:56:03
268,Guerrero Negro,27.9769,-114.0611,59.5,85,0,14.23,MX,2022-04-21 05:56:04
269,Port Blair,11.6667,92.75,87.84,70,20,6.91,IN,2022-04-21 05:56:04
270,Baykit,61.67,96.37,29.88,84,100,4.32,RU,2022-04-21 05:56:05
271,Fremont,37.5483,-121.9886,58.98,77,100,8.05,US,2022-04-21 05:54:30
272,Krasnoselkup,65.7,82.4667,12.83,82,70,13.04,RU,2022-04-21 05:56:05
273,Staunton,38.1496,-79.0717,47.88,52,0,4.61,US,2022-04-21 05:56:06
274,Nakusp,50.2499,-117.8023,43.14,61,100,2.3,CA,2022-04-21 05:56:06
275,Sarkand,45.41,79.9186,63.77,21,100,7.09,KZ,2022-04-21 05:56:06
276,Opuwo,-18.0607,13.84,61.72,52,48,7.07,NA,2022-04-21 05:56:07
277,Dashitou,43.3067,128.5114,70.65,24,47,13.15,CN,2022-04-21 05:56:07
278,Pryazha,61.6926,33.6216,38.43,78,84,8.25,RU,2022-04-21 05:56:08
279,Port Elizabeth,-33.918,25.5701,74.32,47,0,4.61,ZA,2022-04-21 05:51:52
280,Namatanai,-3.6667,152.4333,83.19,74,44,10.36,PG,2022-04-21 05:56:08
281,Hilo,19.7297,-155.09,70.25,93,97,4.0,US,2022-04-21 05:56:09
282,Srednekolymsk,67.45,153.6833,28.4,78,88,1.36,RU,2022-04-21 05:56:09
283,Litomysl,49.8681,16.313,42.66,85,100,2.1,CZ,2022-04-21 05:56:14
284,Bontang,0.1333,117.5,84.15,70,95,6.8,ID,2022-04-21 05:56:15
285,Puerto Madero,14.7208,-92.4215,81.73,71,2,2.86,MX,2022-04-21 05:56:15
286,Te Anau,-45.4167,167.7167,54.61,92,97,0.6,NZ,2022-04-21 05:56:16
287,Svetlyy,54.675,20.1347,48.25,78,96,10.96,RU,2022-04-21 05:56:16
288,Alofi,-19.0595,-169.9187,80.49,83,97,4.61,NU,2022-04-21 05:56:16
289,Grand Gaube,-20.0064,57.6608,83.37,78,95,1.99,MU,2022-04-21 05:56:17
290,San Giovanni Rotondo,41.7049,15.7191,51.19,82,100,8.59,IT,2022-04-21 05:56:17
291,Margate,51.3813,1.3862,50.31,85,91,3.0,GB,2022-04-21 05:56:18
292,Lingao,19.9103,109.6859,78.55,76,29,9.8,CN,2022-04-21 05:56:18
293,Ilulissat,69.2167,-51.1,14.79,69,100,10.87,GL,2022-04-21 05:56:19
294,Naze,28.3667,129.4833,70.72,83,100,21.0,JP,2022-04-21 05:56:19
