City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Ayan,RU,2022-04-28 01:38:34,56.45,138.1667,36.16,61,100,15.32
156,Port Elizabeth,ZA,2022-04-28 01:38:34,-33.918,25.5701,53.89,100,0,2.3
157,Karratha,AU,2022-04-28 01:36:22,-20.7377,116.8463,78.39,45,100,0.96
158,Wuwei,CN,2022-04-28 01:38:35,37.9281,102.6414,57.49,35,36,7.38
159,Saldanha,ZA,2022-04-28 01:34:11,-33.0117,17.9442,50.05,72,0,11.92
160,Xichang,CN,2022-04-28 01:38:36,27.8964,102.2634,72.64,44,6,2.19
161,Saint-Philippe,RE,2022-04-28 01:38:36,-21.3585,55.7679,71.22,78,0,2.44
162,Kaitangata,NZ,2022-04-28 01:38:36,-46.2817,169.8464,57.79,61,67,2.57
163,Gayny,RU,2022-04-28 01:38:37,60.3071,54.3241,34.02,97,100,10.87
164,Bousso,TD,2022-04-28 01:38:37,10.4795,16.7117,82.29,52,99,5.66
165,Saint Anthony,US,2022-04-28 01:38:38,45.0205,-93.218,48.13,43,0,11.5
166,Kenora,CA,2022-04-28 01:38:38,49.8167,-94.4337,41.97,24,40,5.75
167,Kavieng,PG,2022-04-28 01:38:39,-2.5744,150.7967,86.27,63,99,11.9
168,Toribio,CO,2022-04-28 01:38:39,2.9548,-76.2684,60.3,96,93,3.89
169,Touros,BR,2022-04-28 01:38:39,-5.1989,-35.4608,78.26,84,62,10.11
170,Abnub,EG,2022-04-28 01:38:40,27.2696,31.1511,72.45,24,0,4.88
171,Stykkisholmur,IS,2022-04-28 01:38:40,65.0757,-22.7297,41.23,73,69,1.7
172,Cherskiy,RU,2022-04-28 01:38:41,68.75,161.3,31.86,100,100,4.27
173,Kirillov,RU,2022-04-28 01:38:41,59.863,38.3813,21.4,92,29,0.38
174,Quatre Cocos,MU,2022-04-28 01:38:42,-20.2078,57.7625,73.09,81,0,2.57
175,Jamestown,US,2022-04-28 01:38:42,42.097,-79.2353,31.59,90,100,12.66
176,Ribeira Grande,PT,2022-04-28 01:38:42,38.5167,-28.7,63.91,95,100,31.25
177,Gat,IL,2022-04-28 01:38:43,31.61,34.7642,67.41,100,0,4.63
178,Berlevag,NO,2022-04-28 01:38:43,70.8578,29.0864,19.2,70,100,27.54
179,Fortuna,US,2022-04-28 01:38:44,40.5982,-124.1573,54.86,71,20,14.97
180,Upernavik,GL,2022-04-28 01:38:44,72.7868,-56.1549,29.14,96,100,7.67
181,Uong Bi,VN,2022-04-28 01:38:44,21.0333,106.7833,80.58,80,97,8.63
182,Shuyskoye,RU,2022-04-28 01:38:45,59.3736,41.0305,24.06,87,7,4.56
183,Ixtapa,MX,2022-04-28 01:38:45,20.7,-105.2,78.03,73,0,6.91
184,Haines Junction,CA,2022-04-28 01:38:46,60.7522,-137.5108,39.15,87,100,4.61
185,Cacu,BR,2022-04-28 01:38:46,-18.5567,-51.1308,74.46,52,73,2.73
186,Sur,OM,2022-04-28 01:38:46,22.5667,59.5289,86.31,41,0,6.29
187,Flinders,AU,2022-04-28 01:38:47,-34.5833,150.8552,71.19,85,43,8.99
188,Damietta,EG,2022-04-28 01:38:47,31.4165,31.8133,64.11,69,0,4.43
189,Shamary,RU,2022-04-28 01:38:48,57.3434,58.2199,54.61,89,100,12.19
190,New Norfolk,AU,2022-04-28 01:38:48,-42.7826,147.0587,66.92,85,60,1.01
191,Winton,US,2022-04-28 01:37:57,37.3894,-120.6133,78.71,24,0,10.36
192,Manama,BH,2022-04-28 01:38:13,26.2154,50.5832,81.34,54,0,5.75
193,Motala,SE,2022-04-28 01:38:49,58.5371,15.0365,34.92,70,16,5.3
194,Zhanaozen,KZ,2022-04-28 01:38:49,43.3,52.8,67.39,37,97,8.86
195,Boda,CF,2022-04-28 01:38:50,4.3189,17.4695,70.68,85,100,3.67
196,Tomakomai,JP,2022-04-28 01:38:50,42.6369,141.6033,57.34,28,75,23.02
197,Nuuk,GL,2022-04-28 01:38:51,64.1835,-51.7216,34.41,100,100,36.82
198,Vao,NC,2022-04-28 01:38:51,-22.6667,167.4833,75.51,70,100,21.94
199,Bethlehem,BR,2022-04-28 01:38:52,-1.4558,-48.5044,75.24,100,0,3.44
200,Fairbanks,US,2022-04-28 01:38:52,64.8378,-147.7164,53.94,32,0,8.05
201,Airai,TL,2022-04-28 01:38:52,-8.9266,125.4092,74.5,54,59,1.66
202,Hasaki,JP,2022-04-28 01:38:53,35.7333,140.8333,61.2,55,100,17.05
203,Te Anau,NZ,2022-04-28 01:38:53,-45.4167,167.7167,57.13,65,7,0.58
204,Meulaboh,ID,2022-04-28 01:38:54,4.1363,96.1285,81.25,83,81,3.02
205,Yining,CN,2022-04-28 01:38:54,29.0361,114.5636,73.09,91,93,0.45
206,Asyut,EG,2022-04-28 01:38:54,27.181,31.1837,72.77,23,0,4.99
207,Codrington,AU,2022-04-28 01:38:55,-38.2667,141.9667,71.22,61,100,13.87
208,Mitsamiouli,KM,2022-04-28 01:38:55,-11.3847,43.2844,80.76,77,99,11.79
209,Ekhabi,RU,2022-04-28 01:38:56,53.5102,142.9671,29.62,93,100,28.36
210,Cubara,CO,2022-04-28 01:38:56,7.0008,-72.1085,71.06,91,57,3.53
211,Belaya Gora,RU,2022-04-28 01:38:57,68.5333,146.4167,18.45,83,100,6.11
212,Provideniya,RU,2022-04-28 01:38:57,64.3833,-173.3,32.36,80,20,4.47
213,Hofn,IS,2022-04-28 01:38:57,64.2539,-15.2082,42.33,82,100,2.3
214,Serpa,PT,2022-04-28 01:38:58,37.9458,-7.5975,51.76,95,58,6.29
215,Zyryanka,RU,2022-04-28 01:38:58,65.75,150.85,23.47,81,100,12.88
216,Sibolga,ID,2022-04-28 01:38:59,1.7427,98.7792,81.48,85,100,1.36
217,Half Moon Bay,US,2022-04-28 01:38:59,37.4636,-122.4286,61.48,69,0,24.16
218,Lompoc,US,2022-04-28 01:39:00,34.6391,-120.4579,63.57,72,20,19.57
219,Emba,KZ,2022-04-28 01:39:00,48.8264,58.1442,56.86,55,100,9.46
220,San Quintin,MX,2022-04-28 01:39:00,30.4833,-115.95,60.03,77,0,11.9
221,Pandan,PH,2022-04-28 01:39:01,14.0453,124.1694,83.48,80,99,11.34
222,Changli,CN,2022-04-28 01:39:01,39.7042,119.1506,48.06,82,100,4.92
223,Zeya,RU,2022-04-28 01:39:02,53.75,127.2667,47.75,22,17,7.61
224,Tumaco,CO,2022-04-28 01:39:02,1.7986,-78.8156,77.74,88,97,4.7
225,Cap Malheureux,MU,2022-04-28 01:39:03,-19.9842,57.6142,73.47,85,3,1.01
226,Masuda,JP,2022-04-28 01:39:03,34.6667,131.85,61.07,67,40,5.75
227,Sitka,US,2022-04-28 01:39:04,57.0531,-135.33,48.09,61,100,5.75
228,Sant Feliu De Guixols,ES,2022-04-28 01:39:05,41.7833,3.0333,53.92,82,100,4.92
229,Santa Maria,BR,2022-04-28 01:39:06,-29.6842,-53.8069,69.1,88,75,6.91
230,Camapua,BR,2022-04-28 01:39:06,-19.5314,-54.0439,73.11,66,24,2.28
231,Coihaique,CL,2022-04-28 01:34:55,-45.5752,-72.0662,30.81,93,20,0.0
232,Bairiki,KI,2022-04-28 01:39:07,1.3292,172.9752,86.0,74,20,10.36
233,Pacific Grove,US,2022-04-28 01:39:08,36.6177,-121.9166,62.55,72,40,12.66
234,Wajid,SO,2022-04-28 01:39:08,3.8093,43.2471,73.54,89,54,9.66
235,Hirara,JP,2022-04-28 01:39:09,24.8,125.2833,84.06,78,40,13.8
236,San Luis,AR,2022-04-28 01:39:09,-33.295,-66.3356,52.32,39,0,1.45
237,Neiafu,TO,2022-04-28 01:39:10,-18.65,-173.9833,83.08,65,75,16.11
238,Ca Mau,VN,2022-04-28 01:39:05,9.1769,105.15,89.17,57,100,5.46
239,Homer,US,2022-04-28 01:39:10,59.6425,-151.5483,53.76,58,0,11.5
240,Tasiilaq,GL,2022-04-28 01:39:11,65.6145,-37.6368,32.16,85,81,6.33
241,Baijiantan,CN,2022-04-28 01:39:11,45.6333,85.1833,63.16,24,0,14.58
242,Formosa,AR,2022-04-28 01:39:11,-26.1775,-58.1781,84.18,70,0,14.97
243,Lagoa,PT,2022-04-28 01:39:12,39.05,-27.9833,62.44,94,100,32.19
244,Maldonado,UY,2022-04-28 01:39:12,-34.6667,-54.9167,51.22,87,0,2.39
245,Isangel,VU,2022-04-28 01:39:13,-19.55,169.2667,78.73,76,100,15.57
246,Guanica,PR,2022-04-28 01:39:14,17.9716,-66.908,75.11,92,21,5.86
247,Gusinoye Ozero,RU,2022-04-28 01:39:14,51.1144,106.2614,40.8,35,99,16.58
